"Id","DateIn","CustomerId","DestinationId","PickupPointId","DriverId","PortId","Adults","Kids","Free","Remarks","UserId"
1,2020-07-10,155,2,1100,1,2,2,0,0,"","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
2,2020-07-10,200,2,1244,8,1,2,0,0,"","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
3,2020-07-10,73,2,1624,1,1,2,1,0,"GYG32N57ZL9G, CAMPING","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
4,2020-07-10,73,2,1613,1,1,1,0,0,"WEBSITE 78d82d","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
5,2020-07-10,73,2,1244,8,1,2,0,0,"GYGG47VBQVL4,GYGKBKA866F6","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
6,2020-07-10,73,2,964,8,2,2,0,0,"CHECK YETI 47BW12","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
7,2020-07-10,193,2,964,8,2,4,0,0,"ΧΡΕΩΣΗ 17,- ΕΥΡΩ","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
8,2020-07-10,193,2,964,8,2,2,0,1,"ΧΡΕΩΣΗ 17,- ΕΥΡΩ","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
9,2020-07-10,155,2,1100,1,2,2,0,0,"LABRANDA","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
10,2020-07-10,73,2,964,8,2,2,0,0,"GYG7VMXX7ZML","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
11,2020-07-10,141,2,1620,1,1,5,0,0,"BOOKED BY LA CALMA","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
12,2020-07-10,73,2,1100,1,2,3,1,0,"GYG6X7RFH964X","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
13,2020-07-10,35,2,885,1,1,2,0,0,"SOPHIE VAN DER BEKE","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
14,2020-07-10,35,2,1609,1,1,2,0,0,"ALIZEE GAUDION","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
15,2020-07-10,133,2,1100,1,2,15,1,0,"3106,1323,7131,5112,4214,1323,6123,2512","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
16,2020-07-10,133,2,1100,9,2,4,0,0,"SANDY VILLAS 312,214","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
17,2020-07-10,133,2,1691,9,2,4,0,0,"1521,1515","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
18,2020-07-14,141,2,1619,1,2,2,0,0,"AVRA HOTEL BENITSES","b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
